Dates,EM Index,GOLDROLL,IND1BJB Index,IND1BRX Index,IND1BTY Index,IND1CEE1 Index,IND1CJE1 Index,OILROLL,SGBVRZ1 Index,SGIXBGB Index,SILVERROLL,SPROLL
2000-01-26,0.014246555,0.09814294,0.1719084,0.123470165,0.15671206,0.049071454,0.030076072,0.12663604,0.023744257,0.08801199,0.0030578873,0.11492221
2000-01-27,0.01248041,0.08597599,0.16141295,0.13173738,0.13728417,0.056855056,0.026347496,0.13589749,0.020800633,0.10317111,0.0026787766,0.12535852
2000-01-28,0.011103842,0.076493,0.15323271,0.13818091,0.12214198,0.06292164,0.023441426,0.1431159,0.018506402,0.114986174,0.0023833043,0.13349268
2000-01-31,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-01,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-02,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-03,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-04,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-07,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-08,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-09,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-10,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-14,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-15,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-16,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
2000-02-17,0.010000764,0.06889409,0.14667776,0.14334418,0.110008314,0.06778291,0.021112729,0.14890015,0.016667929,0.12445383,0.0021465444,0.14001064
