Dates,SGBVRVG1 Index,SGBVRZ1  Index,SGBVRES1 Index,SGBVRNK1 Index,SGBVRGX1 Index,SGIXTY10 Index,SGIXRX Index,SGIXGILT Index,SGIXJB10 Index,SGICCLSR Index,SGICGCSR Index,SGICSISR Index,NDUEEGF Index
2000-06-13,0.999850282,1.010725821,0.996593983,0.915085004,0.974627035,1.012543354,1.011107632,1.009469066,1.011155321,1.216644339,1.038463579,0.991874958,0.996144381
2000-06-14,1.016991399,1.027184923,0.998927864,0.898801743,0.986239895,1.017447589,1.011107632,1.006642523,1.010547522,1.213335769,1.059999882,1.004823541,1.000715937
2000-06-15,1.008203653,1.017648546,0.998594652,0.886860411,0.985113101,1.017129476,1.009287306,1.003623061,1.013075073,1.204234157,1.052585358,1.002119359,0.988955179
2000-06-16,0.995114563,1.01919913,0.992259432,0.888489149,0.973184569,1.021260521,1.014031077,1.012454913,1.015810165,1.17114034,1.048347646,1.00347145,0.985987024
2000-06-19,0.994553602,1.011911478,1.003262415,0.90477241,0.968280366,1.019504275,1.013423088,1.010632421,1.016723345,1.159144237,1.037049043,0.995161464,0.98532329
2000-06-20,1.004089939,1.02113736,0.999594289,0.917255968,0.967220303,1.018229615,1.013321149,1.006791596,1.015503301,1.188929485,1.037756311,0.994194256,0.989275859
2000-06-21,0.992123414,1.012842018,0.999261077,0.928653013,0.956020316,1.012660437,1.006431214,0.997831132,1.012253805,1.201753745,1.037402677,0.982597764,0.989753151
2000-06-22,0.988196687,1.005553894,0.984457519,0.929739526,0.945748457,1.011869574,1.003109118,0.999127484,1.012253805,1.230710835,1.033872232,0.984144796,0.985256171
2000-06-23,0.985017908,1.000126849,0.975921563,0.922682347,0.935078959,1.008233371,1.001805764,0.99513174,1.013974911,1.237742053,1.025043173,0.98085829,0.975613394
2000-06-26,0.989131622,1.004313805,0.986258121,0.919969157,0.941705956,1.014220072,1.004510769,0.997817979,1.010528251,1.221195145,1.027515663,0.986076712,0.975054068
2000-06-27,0.983148038,0.99702568,0.980923236,0.942221022,0.942832444,1.014220072,1.003606067,0.997519833,1.009315619,1.241468761,1.035637455,0.980665849,0.982026997
2000-06-28,0.983895986,0.986946883,0.981089842,0.941678796,0.945019606,1.013111096,1.001398011,0.998716802,1.010929991,1.231953071,1.060353516,0.986076712,0.989111791
2000-06-29,0.954726658,0.973922164,0.972254134,0.948735975,0.920101868,1.018176597,1.006305611,1.0033103,1.00941346,1.2547071,1.047643325,0.989555659,0.981452756
2000-06-30,0.971742475,0.985706794,0.978922566,0.944936273,0.921161932,1.019289991,1.002683161,1.002809005,1.00941346,1.249328137,1.050466502,0.994386698,0.990312477
2000-07-03,0.977351442,1.004468579,0.993926191,0.95199139,0.931566642,1.022952703,1.001379807,1.000100844,1.008303116,1.249328137,1.050466502,0.994386698,0.999985085
2000-07-04,0.980343234,1.002763221,0.993926191,0.948191688,0.929114693,1.022952703,1.000176572,1.00290108,1.010420033,1.249328137,1.050466502,0.994386698,0.999112536
2000-07-05,0.972676767,0.993924512,0.975754956,0.948191688,0.932560585,1.023911459,1.003278408,1.006812057,1.008197864,1.195546624,1.028927252,0.985496887,1.006592587
2000-07-06,0.971368501,1.000204473,0.982756602,0.937879094,0.930439849,1.019910752,0.997961234,1.001375273,1.011121225,1.178171558,1.026457708,0.987816186,1.00147662
2000-07-07,0.9880097,1.014469753,0.996760589,0.940594345,0.942103594,1.023098504,1.001552738,1.007284122,1.009199989,1.1839646,1.026457708,0.983949855,1.004429861
2000-07-10,0.987635726,1.009120332,0.994593313,0.955248867,0.944489422,1.021499105,0.999250025,1.002348632,1.008393545,1.170312183,1.027515663,0.987816186,1.011193974
2000-07-11,0.987635726,1.011911478,0.996760589,0.948735975,0.935211505,1.020222237,1.002446519,1.004554038,1.007283201,1.181853611,1.021866362,0.979506199,1.001402043
2000-07-12,0.990814505,1.016563231,1.004095447,0.938423381,0.944422997,1.018150087,1.000141985,1.005156176,1.005873406,1.201668493,1.014805472,0.98201794,1.008591245
2000-07-13,0.997732381,1.009120332,1.006596632,0.924311085,0.960129243,1.023398944,1.002042406,1.004150663,1.013920061,1.227812284,1.013040249,0.983564972,1.007860392
2000-07-14,1.002033082,1.00787977,1.016265371,0.927568562,0.978022346,1.016042592,0.99693093,0.996720391,1.013819256,1.227978728,1.016570694,0.987428803,1.011857708
2000-07-17,1.006707757,1.017338523,1.014931824,0.937879094,0.990481063,1.012549981,0.996632396,0.995723648,1.014934046,1.205695612,1.025396807,0.990327926,1.014102468
2000-07-18,1.003155004,1.003848535,1.007930179,0.91671168,0.986637533,1.012865885,0.997031047,0.997217302,1.016456507,1.236386149,1.021512728,0.99090775,1.002282049
2000-07-19,0.99717142,1.007414973,1.000428018,0.918882644,0.982793698,1.012865885,0.997329581,1.000008769,1.015439557,1.232602606,1.009156171,0.983177589,0.988075173
2000-07-20,0.998480329,1.008190266,1.011097789,0.918882644,0.999361341,1.023153732,1.001419855,1.001509731,1.015439557,1.215365567,1.011625714,0.984917063,0.983913789
2000-07-21,0.98613983,0.993924512,0.993259766,0.909114337,0.985378193,1.024112488,1.001419855,1.005515705,1.016251931,1.180473349,1.012332982,0.971388655,0.984144977
2000-07-24,0.987822713,0.992761574,0.987924881,0.896630779,0.975371426,1.021072746,1.001920444,1.004811262,1.01503337,1.159034628,1.008095269,0.974672662,0.965202476
2000-07-25,0.978473364,0.994389782,0.98992555,0.898259518,0.978817622,1.022029293,1.004425214,1.005715931,1.013104722,1.156091422,1.008095269,0.983177589,0.961764487
2000-07-26,0.98240009,0.995165074,0.979589689,0.89391759,0.970202436,1.022188349,1.008242438,1.0072242,1.014928117,1.153566354,1.009506858,0.974867603,0.961093296
